height_cm,weight_kg,team,draft_pick,ppg,rpg,apg,spg,bpg,BPM,team_rank,team_strength,sim,draft_expectation,pressure_factor,total_pressure,pressure_scaled,ppg_adj,rpg_adj,apg_adj,spg_adj,bpg_adj,BPM_adj,ppg_adj_z,rpg_adj_z,apg_adj_z,spg_adj_z,bpg_adj_z,S,sb,pressure_scaled_norm,sim_norm,B,A,expectation_met_%
219,108,WAS,17,6.6,2.1,2.5,2.1,1.3,1.04,20,0.0025,0.8371004857110759,0.0034602076124567475,0.4025,8.65051903114187e-06,3.313288697178433e-05,2.6565,0.8452500000000001,1.00625,0.8452500000000001,0.5232500000000001,0.4186,-0.8030645428245367,-0.9125697585418497,-0.737075700791519,0.4627216496383856,-0.31627926719448324,0.09060520799728967,0.43872893897598225,3.313288697178433e-05,0.8341296901597681,53.5376256647264,10.652849707837099,19.897874766709716
181,123,CLE,51,5.3,6.0,2.5,2.1,0.4,8.49,15,0.0044444444444444444,0.05494251761251435,0.00038446751249519417,0.40444444444444444,1.7087444999786407e-06,5.365748050600405e-06,2.1435555555555554,2.4266666666666667,1.011111111111111,0.8493333333333334,0.1617777777777778,3.4337333333333335,-0.8838628824860802,-0.31060591191501813,-0.7348168680789466,0.47089660617210427,-0.9762645842246481,0.08056806660957126,0.798640435265645,5.365748050600405e-06,0.037704474838269525,21.516098289981976,17.77954970458771,82.63370739882691
215,100,CLE,49,9.9,12.3,8.2,1.7,2.4,4.29,15,0.0044444444444444444,0.7415408628785018,0.00041649312786339016,0.40444444444444444,1.8510805682817341e-06,5.935093160316152e-06,4.0040000000000004,4.974666666666667,3.316444444444444,0.6875555555555555,0.9706666666666666,1.7350666666666668,-0.5908081008781768,0.6592864090241188,0.3364119575313761,0.147012613979058,0.5006256357029929,0.7412601478542556,0.6135349085947462,5.935093160316152e-06,0.7368269760092122,49.623981506878124,27.396966697079815,55.20912644480666
186,108,LAL,57,11.9,10.0,3.5,0.3,2.9,0.79,2,0.25,0.5200699483817401,0.0003077870113881194,0.65,7.694675284702985e-05,0.00030631822360956823,7.735,6.5,2.275,0.195,1.885,0.5135000000000001,-0.0031058486318924473,1.239902220198568,-0.14752036281012929,-0.8390984693944123,2.170039045014059,0.9183559851316637,0.4253561688747316,0.00030631822360956823,0.5113162378212124,40.57555715476754,43.670645005207845,107.62796143164393
211,119,IND,33,6.4,0.2,5.4,2.4,1.6,-1.96,21,0.0022675736961451248,0.9702448442937347,0.0009182736455463729,0.40226757369614513,2.082253164504247e-06,6.859784903798298e-06,2.574512471655329,0.08045351473922903,2.172244897959184,0.9654421768707483,0.6436281179138322,-0.7884444444444444,-0.8159791113220626,-1.2036883763344963,-0.19526800333267938,0.7033500141146464,-0.09648979118320365,0.16685600880274376,0.2889809130538859,6.859784903798298e-06,0.9697027185990496,58.98668283115094,9.168420627819286,15.543204309460561
221,102,BOS,26,24.6,4.5,1.8,1.4,1.7,-0.59,1,1.0,0.653030204020132,0.0014792899408284025,1.4,0.0014792899408284025,0.005915699217049833,34.44,6.3,2.52,1.9599999999999997,2.38,-0.826,4.203430909941418,1.1637725246774426,-0.03367519409648156,2.694484783343593,3.0738228265769214,0.999984915622237,0.35396145975914506,0.005915699217049833,0.6467018051170811,46.356945265509665,94.77624627669674,204.44886032473724
206,107,IND,42,22.1,3.7,10.7,0.2,2.5,6.34,21,0.0022675736961451248,0.9983704453993475,0.0005668934240362811,0.40226757369614513,1.2854726168623153e-06,3.6726580305831907e-06,8.890113378684807,1.488390022675737,4.304263038548752,0.08045351473922903,1.0056689342403629,2.55037641723356,0.17884610372749546,-0.6677594880230822,0.7954257310182464,-1.0684239889283846,0.5645336796444685,0.4508150848493714,0.7128173626797798,3.6726580305831907e-06,0.9983413553325459,60.13789180698922,23.404580067082932,38.91819178197872
211,81,NOP,37,2.9,2.1,4.1,0.1,0.7,0.49,27,0.0013717421124828531,0.34381496133174777,0.0007304601899196495,0.4013717421124829,1.0020030040050062e-06,2.538777913214388e-06,1.1639780521262004,0.8428806584362141,1.6456241426611797,0.040137174211248294,0.280960219478738,0.19667215363511661,-1.0381646527930286,-0.9134716448010326,-0.4399750593939441,-1.1491385190707957,-0.758658204716791,0.013394737976346697,0.40945345868390093,2.538777913214388e-06,0.33184620524706454,33.34173986806377,8.485965867132268,25.45147883917273
212,105,DET,2,27.9,4.1,0.7,0.4,0.4,-2.54,9,0.012345679012345678,0.9126652490081735,0.25,0.4123456790123457,0.0030864197530864196,0.012344227911119469,11.504444444444445,1.6906172839506173,0.288641975308642,0.1649382716049383,0.1649382716049383,-1.047358024691358,0.590652122345659,-0.5907819888884437,-1.070529605449703,-0.8992829566494541,-0.9704940729868357,0.05019046046996586,0.26370849252451795,0.012344227911119469,0.9110728210031599,57.373524934864804,6.47174384568874,11.280017835815391
208,87,DET,10,29.6,5.8,2.8,1.4,2.7,8.21,9,0.012345679012345678,0.5592064428494913,0.010000000000000002,0.4123456790123457,0.00012345679012345682,0.0004923586460529032,12.205432098765433,2.391604938271605,1.154567901234568,0.577283950617284,1.1133333333333335,3.3853580246913584,0.7010707830911118,-0.32395210545082037,-0.6681562049168107,-0.07375446616962059,0.7611101195473742,0.5978027297991847,0.7886450005887304,0.0004923586460529032,0.5511666162673725,42.188939941716455,28.58478654009652,67.75421847428753
